Age;Gender;MaritalStatus;ChildrenNumber;HasChildren;CountryCitizen;CountryLive;IsEthnicMinority;LanguageAtHome;EmploymentField;Income;IsUnderEmployed;SchoolDegree;SchoolMajor;HoursLearning;MoneyForLearning;MonthsProgramming
50;male;married or domestic partnership;2;1;Malaysia;Malaysia;1;English;architecture or physical engineering;20000;0;bachelor's degree;Civil Engineering;5;5000;3
26;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;bachelor's degree;Music;30;2500;27
23;male;NA;NA;NA;Portugal;Portugal;0;Portuguese;NA;NA;NA;bachelor's degree;Business Administration;5;NA;2
36;female;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;5;0;15
28;female;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;some college credit- no degree;NA;40;0;1
24;male;NA;NA;NA;Argentina;NA;0;Spanish;finance;10000;0;bachelor's degree;Economics;NA;1000;NA
16;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;some high school;NA;20;60;3
21;female;NA;NA;NA;United States of America;United States of America;1;English;education;20000;0;high school diploma or equivalent (GED);NA;2;0;1
NA;female;NA;NA;NA;Latvia;Latvia;1;Russian;software development and IT;NA;NA;master's degree (non-professional);Physics;8;0;NA
47;male;NA;NA;NA;Canada;Canada;0;English;software development and IT;24000;1;high school diploma or equivalent (GED);NA;10;300;4
22;female;NA;NA;NA;United States of America;United States of America;0;English;sales;NA;0;bachelor's degree;English;NA;NA;NA
37;male;NA;NA;NA;United States of America;United States of America;NA;English;finance;125000;0;professional degree (MBA- MD- JD- etc.);Chemistry;10;5000;12
43;male;NA;NA;NA;United Kingdom;United Kingdom;0;English;office and administrative support;33000;0;some college credit- no degree;NA;10;30;7
32;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;farming- fishing- and forestry;51000;1;some college credit- no degree;NA;20;0;12
24;male;NA;NA;NA;Australia;Australia;0;English;NA;NA;NA;associate's degree;Information Technology;15;1000;6
25;male;single- never married;NA;0;Malaysia;Singapore;0;English;software development and IT;20000;0;bachelor's degree;Electrical Engineering;10;0;36
45;male;married or domestic partnership;2;1;Greece;Greece;0;Greek;NA;NA;NA;bachelor's degree;Electrical Engineering;25;0;2
31;male;NA;NA;NA;United States of America;United States of America;0;English;office and administrative support;20000;1;high school diploma or equivalent (GED);NA;10;50;6
30;female;NA;NA;NA;Philippines;Philippines;0;Tagalog;software development and IT;NA;0;bachelor's degree;Communications;8;NA;NA
27;male;NA;NA;NA;United States of America;United States of America;0;English;Warehouse ;17000;1;some college credit- no degree;NA;1;800;3
28;male;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;44000;0;master's degree (non-professional);Music;20;100;11
31;male;NA;NA;NA;Singapore;Singapore;0;Mandarin Chinese;education;110000;0;bachelor's degree;Linguistics;5;2000;3
36;male;NA;NA;NA;Dominican Republic;Dominican Republic;1;Spanish;education;18000;1;bachelor's degree;Graphic Design;3;0;24
46;female;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;master's degree (non-professional);Special Education;40;2000;10
21;male;NA;NA;NA;Ghana;Ghana;1;Akan;NA;NA;NA;high school diploma or equivalent (GED);NA;16;0;28
29;female;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;some college credit- no degree;NA;1;0;0
53;female;NA;NA;NA;United States of America;United States of America;0;English;Historic sites and municipal planning;NA;1;professional degree (MBA- MD- JD- etc.);History;NA;1500;6
30;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;software development and IT;NA;0;bachelor's degree;Elementary Education;5;0;12
27;male;NA;NA;NA;United States of America;United States of America;1;English;arts- entertainment- sports- or media;NA;0;some college credit- no degree;NA;5;0;6
36;male;NA;NA;NA;Brazil;Brazil;0;Portuguese;NA;NA;NA;no high school (secondary school);NA;16;1250;240
24;male;single- never married;NA;0;Sri Lanka;Canada;0;Tamil;transportation;55000;0;some high school;NA;5;200;5
28;male;married or domestic partnership;1;1;Canada;Canada;0;English;NA;NA;NA;bachelor's degree;Business Administration;2;100;12
21;male;NA;NA;NA;United States of America;United States of America;0;English;arts- entertainment- sports- or media;6000;1;some college credit- no degree;NA;20;0;80
50;female;NA;NA;NA;United States of America;United States of America;1;English;software development and IT;NA;0;professional degree (MBA- MD- JD- etc.);Computer Science;5;300;NA
21;male;NA;NA;NA;Indonesia;Indonesia;0;Malay Bhasa Indonesia;software development and IT;10000;1;bachelor's degree;Computer Science;35;500;12
40;male;NA;NA;NA;Australia;Australia;0;English;NA;NA;NA;bachelor's degree;Computer Science;2;1000;240
26;male;NA;NA;NA;Brazil;Brazil;0;Portuguese;Digital marketing;24000;0;bachelor's degree;Business Administration;5;1000;5
30;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;architecture or physical engineering;85000;0;bachelor's degree;Mechanical Engineering;5;0;24
17;male;NA;NA;NA;Singapore;Singapore;0;English;NA;NA;NA;some high school;NA;4;0;1
36;male;NA;NA;NA;Argentina;Argentina;0;Spanish;software development and IT;NA;0;some college credit- no degree;NA;10;0;24
34;male;NA;NA;NA;China;China;0;Mandarin Chinese;software development and IT;NA;1;bachelor's degree;Computer Science;5;0;120
18;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;no high school (secondary school);NA;1;0;30
34;female;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;bachelor's degree;Advertising and Marketing;10;0;1
NA;female;married or domestic partnership;2;1;United States of America;United States of America;0;English;NA;NA;NA;bachelor's degree;Ministry;5;NA;NA
24;male;NA;NA;NA;Brazil;Brazil;0;Portuguese;software development and IT;NA;0;high school diploma or equivalent (GED);NA;NA;NA;NA
25;male;NA;NA;NA;Malaysia;Malaysia;0;English;education;15000;0;bachelor's degree;Statistics;10;150;6
29;male;NA;NA;NA;Brazil;Brazil;0;Portuguese;software development and IT;NA;0;high school diploma or equivalent (GED);NA;12;0;68
44;female;NA;NA;NA;United States of America;United States of America;0;English;education;67000;0;Ph.D.;Liberal Arts;1;0;1
20;male;NA;NA;NA;Canada;Canada;0;English;NA;NA;NA;some college credit- no degree;NA;NA;0;240
37;male;married or domestic partnership;NA;0;Russia;Russia;0;Russian;software development and IT;30000;0;some high school;NA;5;0;36
43;male;married or domestic partnership;3;1;United States of America;United States of America;0;English;software development and IT;200000;0;high school diploma or equivalent (GED);NA;6;100;3
18;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;8;25;7
26;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;20;500;36
33;female;married or domestic partnership;1;1;Australia;Australia;0;English;software development and IT;28600;0;trade- technical- or vocational training;NA;20;100;6
33;male;married or domestic partnership;1;1;United States of America;United States of America;0;English;education;60000;0;Ph.D.;Music;10;0;6
36;female;single- never married;1;1;United States of America;United States of America;1;English;software development and IT;44000;1;high school diploma or equivalent (GED);NA;8;NA;0
23;male;NA;NA;NA;United States of America;United States of America;1;Mandarin Chinese;sales;NA;1;bachelor's degree;Advertising and Marketing;40;500;3
37;male;married or domestic partnership;1;1;United States of America;United States of America;0;English;software development and IT;30000;0;bachelor's degree;Music;6;1200;25
29;male;NA;NA;NA;Colombia;Colombia;0;Spanish;software development and IT;70000;0;master's degree (non-professional);NA;10;2500;400
45;male;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;70000;0;some college credit- no degree;NA;10;1000;12
20;female;NA;NA;NA;Egypt;Egypt;0;Arabic;NA;NA;NA;high school diploma or equivalent (GED);NA;2;0;5
22;female;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;some college credit- no degree;NA;5;600;1
27;male;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;40000;0;bachelor's degree;Economics;10;0;12
24;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;associate's degree;Aviation;7;0;1
31;female;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;90000;0;bachelor's degree;Creative Writing;5;100;3
24;male;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;60000;0;bachelor's degree;Computer Science;5;0;36
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;0;11
25;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;bachelor's degree;Information Technology;20;0;40
31;male;single- never married;2;1;Netherlands;Netherlands;0;English;software development and IT;35000;0;master's degree (non-professional);Philosophy;10;250;12
46;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;bachelor's degree;Graphic Design;5;3500;7
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41;male;married or domestic partnership;1;1;Australia;Australia;0;English;software development and IT;25000;0;trade- technical- or vocational training;NA;10;0;600
33;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;food and beverage;22000;0;some college credit- no degree;NA;5;0;7
55;male;NA;NA;NA;United States of America;United States of America;0;English;arts- entertainment- sports- or media;13000;1;master's degree (non-professional);Liberal Arts;1;100;2
17;male;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;some high school;NA;2;0;1
25;male;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;12000;1;some college credit- no degree;NA;5;0;12
20;male;NA;NA;NA;United States of America;United States of America;1;English;legal;20000;0;some college credit- no degree;NA;5;0;1
36;male;married or domestic partnership;1;1;Poland;United Kingdom;1;Polish;sales;20000;1;some high school;NA;10;500;3
27;male;single- never married;1;1;United States of America;United States of America;0;English;architecture or physical engineering;30000;0;some college credit- no degree;NA;10;200;3
39;male;married or domestic partnership;1;1;United States of America;United States of America;0;English;software development and IT;145000;0;bachelor's degree;Computer Science;0;0;0
26;male;single- never married;NA;0;Turkey;Turkey;0;Turkish;software development and IT;15000;0;high school diploma or equivalent (GED);NA;10;1000;36
37;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;30;0;1
27;male;NA;NA;NA;Korea South;Korea South;0;NA;NA;NA;NA;bachelor's degree;Computer Science;NA;NA;NA
31;male;NA;NA;NA;United States of America;United States of America;1;English;sales;30000;1;bachelor's degree;Computer Graphics;10;75;4
43;male;married or domestic partnership;NA;NA;United States of America;United States of America;1;English;NA;NA;1;NA;NA;10;500;6
40;female;single- never married;1;1;United States of America;United States of America;1;English;education;72000;0;Ph.D.;Architecture;8;0;2
36;male;NA;NA;NA;United States of America;United States of America;0;English;non-profit association;54000;0;some college credit- no degree;NA;8;3000;18
29;female;NA;NA;NA;Jamaica;Jamaica;0;English;software development and IT;25000;1;associate's degree;Information Technology;8;200;36
37;female;married or domestic partnership;4;1;United States of America;United States of America;1;Spanish;NA;NA;NA;associate's degree;Early Childhood Education;1;0;0
28;male;married or domestic partnership;1;1;Algeria;United States of America;0;English;software development and IT;47000;0;bachelor's degree;Web Design;10;150;5
28;male;NA;NA;NA;United States of America;United States of America;0;English;arts- entertainment- sports- or media;27000;1;associate's degree;Graphic Design;3;0;0
30;male;single- never married;1;1;United States of America;United States of America;1;English;software development and IT;80000;0;bachelor's degree;History;20;5000;10
43;female;NA;NA;NA;United States of America;United States of America;0;English;office and administrative support;25000;1;bachelor's degree;General Studies;5;650;3
24;male;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;NA;0;associate's degree;Physics;30;100;4
21;male;NA;NA;NA;Georgia;Austria;0;NA;NA;NA;NA;some high school;NA;10;300;14
20;genderqueer;single- never married;NA;0;Australia;Australia;1;English;NA;NA;NA;some high school;NA;10;NA;1
26;female;NA;NA;NA;United States of America;United States of America;0;English;food and beverage;13000;1;master's degree (non-professional);Illustration;20;0;6
25;female;single- never married;1;1;United States of America;United States of America;0;English;office and administrative support;30000;1;some college credit- no degree;NA;8;0;3
25;male;NA;NA;NA;United States of America;United States of America;0;English;health care;NA;1;bachelor's degree;Biology;0;0;0
48;male;NA;NA;NA;United States of America;Swaziland;1;English;NA;NA;NA;professional degree (MBA- MD- JD- etc.);Business Administration;60;0;25
33;male;married or domestic partnership;1;1;United States of America;United States of America;0;English;education;58000;0;master's degree (non-professional);International Relations;2;200;3
33;male;married or domestic partnership;1;1;United States of America;United States of America;1;English;sales;NA;0;some college credit- no degree;NA;4;1500;11
21;male;NA;NA;NA;United States of America;United States of America;1;Spanish;NA;NA;NA;some college credit- no degree;NA;40;200;4
32;male;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;NA;0;master's degree (non-professional);Music;50;200;10
26;male;NA;NA;NA;United States of America;United States of America;0;English;office and administrative support;NA;0;bachelor's degree;Computer Science;10;0;12
19;male;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;13000;0;some college credit- no degree;NA;15;100;18
33;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;sales;80000;1;professional degree (MBA- MD- JD- etc.);Psychology;21;0;7
48;male;married or domestic partnership;2;1;Canada;Canada;0;English;NA;NA;NA;bachelor's degree;Biology;6;0;120
28;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;software development and IT;NA;0;bachelor's degree;Computer Science;50;500;120
24;male;NA;NA;NA;United Kingdom;Australia;0;English;office and administrative support;20000;1;some college credit- no degree;NA;3;50;12
31;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;software development and IT;NA;0;bachelor's degree;Information Technology;20;500;100
30;male;married or domestic partnership;1;1;Bangladesh;Canada;0;English;NA;NA;NA;master's degree (non-professional);Computer Science;20;500;30
30;male;married or domestic partnership;2;1;Uzbekistan;United States of America;0;English;transportation;40000;0;bachelor's degree;English;40;4000;1
49;female;married or domestic partnership;3;1;United States of America;United States of America;1;English;software development and IT;NA;0;bachelor's degree;Business Administration;5;20000;15
35;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;software development and IT;200000;0;professional degree (MBA- MD- JD- etc.);Medicine;2;7000;9
31;female;NA;NA;NA;Australia;Australia;0;English;sales;25000;1;some college credit- no degree;NA;2;0;1
22;male;NA;NA;NA;NA;NA;0;English;education;NA;1;bachelor's degree;History;10;50;5
NA;female;NA;NA;NA;NA;Singapore;0;English;software development and IT;NA;0;master's degree (non-professional);Mechanical Engineering;10;200;6
54;male;NA;NA;NA;United States of America;United States of America;0;English;arts- entertainment- sports- or media;100000;1;some college credit- no degree;NA;4;0;360
30;male;NA;NA;NA;Malaysia;Malaysia;1;Mandarin Chinese;software development and IT;20000;1;master's degree (non-professional);Computer Science;20;0;120
41;male;NA;NA;NA;United States of America;United States of America;0;English;Gambling;NA;1;bachelor's degree;Criminal Justice;1;0;1
22;male;NA;NA;NA;India;India;0;Gujarati;NA;NA;NA;bachelor's degree;Web Design;NA;0;NA
NA;female;NA;NA;NA;United States of America;United States of America;NA;NA;NA;NA;NA;NA;NA;8;300;8
21;male;NA;NA;NA;India;India;1;Malayalam;NA;NA;NA;high school diploma or equivalent (GED);NA;7;0;14
23;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;trade- technical- or vocational training;NA;20;400;18
28;female;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;bachelor's degree;Sociology;24;30;13
25;male;married or domestic partnership;1;1;United States of America;United States of America;0;English;software development and IT;80000;0;master's degree (non-professional);Biomedical Engineering;10;0;8
28;male;NA;NA;NA;United States of America;United States of America;1;English;office and administrative support;16000;1;bachelor's degree;Business Administration;40;200;12
27;male;NA;NA;NA;Spain;United Kingdom;0;Spanish;NA;NA;NA;high school diploma or equivalent (GED);NA;40;0;1
21;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;trade- technical- or vocational training;NA;30;0;36
16;trans;NA;NA;NA;United Kingdom;United Kingdom;0;English;NA;NA;NA;some high school;NA;2;200;4
41;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;software development and IT;28000;1;some college credit- no degree;NA;20;0;3
27;male;single- never married;NA;0;NA;China;0;Mandarin Chinese;software development and IT;20000;0;master's degree (non-professional);Computer Science;30;0;100
37;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;software development and IT;152000;0;bachelor's degree;Information Technology;10;5000;120
26;male;NA;NA;NA;United States of America;United States of America;0;English;arts- entertainment- sports- or media;62000;0;bachelor's degree;Advertising and Marketing;2;0;1
30;male;single- never married;NA;0;Argentina;Argentina;0;Spanish;Accounting;NA;1;some college credit- no degree;NA;NA;0;NA
52;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;transportation;60000;1;trade- technical- or vocational training;NA;30;200;24
35;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;professional degree (MBA- MD- JD- etc.);Finance;20;1000;8
37;male;married or domestic partnership;1;1;United States of America;United States of America;0;English;finance;29000;1;associate's degree;Computer Graphics;15;250;15
48;male;NA;NA;NA;United States of America;United States of America;1;English;software development and IT;120000;0;master's degree (non-professional);History;1;1000;1
39;female;married or domestic partnership;NA;1;United States of America;United States of America;1;English;education;40000;0;master's degree (non-professional);General Studies;5;0;0
26;male;NA;NA;NA;Mexico;United States of America;0;Spanish;NA;NA;NA;bachelor's degree;Computer Science;3;0;36
31;male;married or domestic partnership;1;1;Jamaica;Jamaica;0;English;finance;10000;1;bachelor's degree;History;4;700;4
13;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;no high school (secondary school);NA;12;0;24
50;female;married or domestic partnership;2;1;United States of America;United States of America;0;English;education;36000;0;master's degree (non-professional);Math;5;50;7
28;female;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;bachelor's degree;Liberal Arts;5;200;15
23;male;NA;NA;NA;United Kingdom;Germany;0;English;NA;NA;NA;bachelor's degree;Political Science;12;0;6
25;female;NA;NA;NA;United States of America;United States of America;0;English;arts- entertainment- sports- or media;50000;1;master's degree (non-professional);Liberal Arts;4;0;2
49;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;bachelor's degree;Environmental Science;20;45;5
28;male;married or domestic partnership;NA;0;United States of America;United States of America;1;English;health care;40000;1;bachelor's degree;Psychology;20;800;4
35;male;NA;NA;NA;Romania;Romania;0;Romanian;software development and IT;NA;NA;bachelor's degree;Geography;40;100;11
21;male;NA;NA;NA;Nepal;India;1;Hindi;NA;NA;NA;some high school;NA;50;0;6
27;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;bachelor's degree;Economics;NA;0;NA
30;male;NA;NA;NA;Canada;Canada;1;English;NA;NA;NA;bachelor's degree;Computer Science;40;27;36
33;male;married or domestic partnership;1;1;United States of America;United States of America;0;English;Customer service;70000;0;master's degree (non-professional);Creative Writing;12;0;1
27;male;married or domestic partnership;NA;0;United States of America;United States of America;1;Spanish;office and administrative support;40000;1;some college credit- no degree;NA;15;650;16
20;male;NA;NA;NA;Brazil;Brazil;0;Portuguese;NA;NA;NA;trade- technical- or vocational training;NA;40;0;36
19;male;NA;NA;NA;Canada;Canada;0;French;NA;NA;NA;some college credit- no degree;NA;30;0;8
20;female;NA;NA;NA;Brazil;Brazil;1;Portuguese;NA;NA;NA;bachelor's degree;Computer Science;6;0;12
34;female;married or domestic partnership;2;1;United States of America;United States of America;0;English;NA;NA;NA;bachelor's degree;English;10;0;1
39;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;software development and IT;130000;0;Ph.D.;Industrial Engineering;6;0;400
41;male;NA;NA;NA;United States of America;United States of America;1;English;health care;41000;1;some college credit- no degree;NA;10;1000;2
29;female;NA;NA;NA;United States of America;United States of America;1;English;video games;28000;1;bachelor's degree;Computer Science;NA;500;NA
23;male;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;40000;0;bachelor's degree;Computer Science;20;0;50
42;male;NA;NA;NA;United States of America;United States of America;0;English;sales;NA;1;bachelor's degree;Finance;4;0;2
48;female;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;bachelor's degree;English;20;200;6
25;female;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;60000;0;bachelor's degree;Music;5;16000;7
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;male;NA;NA;NA;Mexico;United States of America;0;English;NA;NA;NA;master's degree (non-professional);Advertising and Marketing;6;0;8
32;male;NA;NA;NA;United States of America;United States of America;0;English;sales;55000;1;bachelor's degree;Business Administration;4;12000;5
22;male;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;20000;1;bachelor's degree;Religious Studies;10;200;12
39;male;NA;NA;NA;Canada;Canada;0;English;Other technical;35000;0;trade- technical- or vocational training;NA;2;2000;300
21;male;NA;NA;NA;India;India;0;Gujarati;NA;NA;NA;some college credit- no degree;NA;35;0;40
25;male;NA;NA;NA;Malaysia;Malaysia;1;Tamil;software development and IT;6000;0;bachelor's degree;Information Technology;5;20;24
18;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;60;0;24
38;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;software development and IT;110000;0;high school diploma or equivalent (GED);NA;2;0;168
44;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;bachelor's degree;Psychology;20;150;2
44;male;divorced;3;1;United States of America;United States of America;0;English;software development and IT;47500;0;bachelor's degree;Biology;10;950;9
57;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;finance;70000;0;bachelor's degree;Information Technology;9;560;6
43;male;married or domestic partnership;3;1;United States of America;United States of America;0;English;sales;60000;1;associate's degree;General Studies;10;0;12
42;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;bachelor's degree;Math;40;0;6
26;male;NA;NA;NA;Australia;Australia;0;English;legal;35000;1;some college credit- no degree;NA;20;20000;6
22;female;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;bachelor's degree;Cinematography And Film;10;300;6
35;male;NA;NA;NA;United States of America;United States of America;1;English;software development and IT;75000;1;master's degree (non-professional);Finance;5;1000;12
33;male;married or domestic partnership;3;1;Malaysia;NA;1;Malay Bhasa Indonesia;construction and extraction;NA;0;some college credit- no degree;NA;35;500;3
40;male;married or domestic partnership;NA;0;Taiwan;Taiwan;0;Mandarin Chinese;health care;15000;1;some college credit- no degree;NA;14;3000;12
60;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;software development and IT;85000;0;some college credit- no degree;NA;2;25000;24
32;male;married or domestic partnership;1;1;Taiwan;Taiwan;0;Mandarin Chinese;software development and IT;13000;1;master's degree (non-professional);Psychology;4;3000;20
28;male;NA;NA;NA;India;United States of America;1;Hindi;software development and IT;100000;0;master's degree (non-professional);Computer Science;20;1000;36
24;male;NA;NA;NA;United States of America;United States of America;1;Spanish;software development and IT;20909;0;some college credit- no degree;NA;20;0;3
37;male;NA;NA;NA;Argentina;Argentina;0;Spanish;office and administrative support;12000;0;some high school;NA;8;0;12
22;male;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;high school diploma or equivalent (GED);NA;20;0;36
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;300;12
32;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;health care;50000;1;some college credit- no degree;NA;10;0;48
34;male;married or domestic partnership;NA;0;Canada;Canada;0;Korean;education;50000;0;master's degree (non-professional);Education;10;200;12
18;male;NA;NA;NA;India;India;1;Punjabi;NA;NA;NA;high school diploma or equivalent (GED);NA;28;0;48
25;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;education;6000;1;bachelor's degree;International Relations;30;0;7
26;male;NA;NA;NA;United States of America;United States of America;0;English;IT Technician;44000;1;some college credit- no degree;NA;12;200;48
15;female;NA;NA;NA;India;United States of America;1;Tamil;NA;NA;NA;some high school;NA;4;2000;24
20;trans;NA;NA;NA;United Kingdom;United Kingdom;0;English;NA;NA;NA;trade- technical- or vocational training;NA;25;0;48
41;male;married or domestic partnership;3;1;El Salvador;El Salvador;0;Spanish;architecture or physical engineering;NA;0;bachelor's degree;Computer Networking;6;0;6
34;male;married or domestic partnership;1;1;New Zealand;New Zealand;1;English;software development and IT;35000;0;bachelor's degree;Computer Science;15;20;24
30;male;NA;NA;NA;United States of America;United States of America;0;English;data entry;9000;1;bachelor's degree;Information Systems;1;150;24
26;male;NA;NA;NA;Philippines;Philippines;0;English;software development and IT;16000;0;bachelor's degree;Computer Science;15;300;24
24;male;single- never married;1;1;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;5;0;8
45;male;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;85000;0;bachelor's degree;Information Technology;8;500;12
29;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;bachelor's degree;Communications;30;0;1
18;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;12;0;8
36;male;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;50000;1;bachelor's degree;Economics;6;0;3
46;male;NA;NA;NA;United States of America;United States of America;0;English;food and beverage;145000;0;some high school;NA;30;400;1
21;female;NA;NA;NA;Korea South;Korea South;0;Korean;NA;NA;NA;associate's degree;Computer Science;40;NA;NA
35;male;married or domestic partnership;2;1;Philippines;Philippines;1;Tagalog;software development and IT;17000;0;bachelor's degree;Computer Science;4;1;4
55;male;married or domestic partnership;2;1;United States of America;United States of America;1;English;software development and IT;78000;1;trade- technical- or vocational training;NA;6;4000;36
30;male;NA;NA;NA;Brazil;Brazil;0;Portuguese;software development and IT;8000;0;high school diploma or equivalent (GED);NA;50;239;3
47;male;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;100000;0;some college credit- no degree;NA;4;500;240
47;female;divorced;2;1;United States of America;United States of America;0;English;software development and IT;8000;1;bachelor's degree;Special Education;5;18000;26
20;male;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;high school diploma or equivalent (GED);NA;6;40;12
16;female;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;some high school;NA;2;0;1
36;male;married or domestic partnership;1;1;Canada;Canada;1;Bengali;office and administrative support;38000;1;bachelor's degree;Electrical Engineering;10;5000;2
38;male;married or domestic partnership;1;1;United States of America;Korea South;1;English;education;45000;1;bachelor's degree;Information Systems;15;100;6
40;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;education;35000;1;bachelor's degree;Information Technology;40;2500;20
26;male;NA;NA;NA;Egypt;Egypt;0;Arabic;software development and IT;NA;0;bachelor's degree;Computer Science;10;0;96
33;male;NA;NA;NA;Taiwan;United States of America;0;Mandarin Chinese;NA;NA;NA;bachelor's degree;Business Administration;10;15;3
27;female;NA;NA;NA;Malaysia;Malaysia;1;Yue (Cantonese) Chinese;software development and IT;NA;0;bachelor's degree;Sociology;NA;50;9
28;male;NA;NA;NA;United States of America;United States of America;0;English;education;50000;0;master's degree (non-professional);Biology;8;300;4
40;male;married or domestic partnership;2;1;Thailand;Thailand;0;Thai;architecture or physical engineering;50000;1;associate's degree;Business Administration;10;0;12
29;male;NA;NA;NA;United States of America;United States of America;0;English;software development and IT;35000;1;bachelor's degree;Music;8;60;12
31;female;NA;NA;NA;Canada;Australia;0;English;NA;NA;NA;bachelor's degree;Biology;0;0;1
37;male;NA;NA;NA;United States of America;United States of America;NA;English;office and administrative support;70000;0;associate's degree;Computer Programming;5;500;360
NA;female;NA;NA;NA;NA;United States of America;1;English;arts- entertainment- sports- or media;NA;1;master's degree (non-professional);Journalism;30;100;3
24;male;NA;NA;NA;NA;Canada;0;NA;software development and IT;NA;0;associate's degree;Business Administration;25;1000;14
32;male;single- never married;2;1;United States of America;United States of America;1;English;office and administrative support;20000;1;trade- technical- or vocational training;NA;6;60;6
27;agender;NA;NA;NA;Canada;Canada;0;French;education;NA;0;high school diploma or equivalent (GED);NA;10;NA;3
28;female;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;some college credit- no degree;NA;18;68;1
45;male;married or domestic partnership;2;1;United States of America;United States of America;0;Spanish;software development and IT;81000;1;high school diploma or equivalent (GED);NA;10;1500;12
