Age;Gender;MaritalStatus;ChildrenNumber;HasChildren;CountryCitizen;CountryLive;IsEthnicMinority;LanguageAtHome;EmploymentField;Income;IsUnderEmployed;SchoolDegree;SchoolMajor;HoursLearning;MoneyForLearning;MonthsProgramming
25;male;NA;NA;NA;Portugal;Portugal;0;Portuguese;software development;12000;0;some college credit- no degree;NA;12;NA;96
20;male;NA;NA;NA;India;Singapore;1;Hindi;NA;NA;NA;high school diploma or equivalent (GED);NA;5;NA;4
43;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;4;0;240
33;female;married or domestic partnership;3;1;United States of America;United States of America;0;English;NA;NA;NA;high school diploma or equivalent (GED);NA;10;80;1
35;female;single- never married;NA;0;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;35;50;100
30;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;bachelor's degree;Chemistry;40;3000;8
25;female;NA;NA;NA;United States of America;NA;0;English;software development;64000;0;bachelor's degree;Linguistics;15;400;16
24;male;NA;NA;NA;Macedonia;Macedonia;0;English;NA;NA;NA;bachelor's degree;Computer Science;10;250;1
36;male;married or domestic partnership;3;1;Cyprus;Greece;0;Greek;software development;35000;0;some college credit- no degree;NA;8;0;6
30;male;NA;NA;NA;United States of America;United States of America;0;English;health care;24000;0;some college credit- no degree;NA;15;300;9
34;female;NA;NA;NA;United States of America;United States of America;0;English;education;62500;0;master's degree (non-professional);Sociology;2;250;3
40;male;married or domestic partnership;NA;0;Sweden;Sweden;0;Swedish;software development;27000;0;some high school;NA;5;0;36
30;female;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;professional degree (MBA- MD- JD- etc.);English;5;0;48
47;female;NA;NA;NA;Brazil;United States of America;0;English;software development;30000;0;professional degree (MBA- MD- JD- etc.);Sports Medicine;20;800;36
24;female;NA;NA;NA;Portugal;Portugal;0;Portuguese;software development;16500;0;bachelor's degree;Computer Science;4;0;19
25;female;NA;NA;NA;United States of America;United States of America;1;Mandarin Chinese;finance;75000;1;bachelor's degree;Economics;10;50;1
27;male;NA;NA;NA;United States of America;United States of America;1;English;transportation;NA;NA;associate's degree;Business Administration;15;NA;6
27;female;NA;NA;NA;United States of America;United States of America;0;English;software development;NA;1;bachelor's degree;Graphic Design;16;400;72
24;male;NA;NA;NA;United States of America;United States of America;0;English;architecture or physical engineering;50000;0;bachelor's degree;Mechanical Engineering;5;0;3
34;male;NA;NA;NA;United States of America;United States of America;0;English;education;40000;1;some college credit- no degree;NA;15;400;4
37;male;married or domestic partnership;1;1;United States of America;United States of America;1;English;education;56000;0;some college credit- no degree;NA;15;3000;36
39;male;married or domestic partnership;1;1;United States of America;United States of America;0;English;transportation;35000;0;bachelor's degree;Criminal Justice;12;80;4
36;male;married or domestic partnership;1;1;United States of America;United States of America;0;English;office and administrative support;45000;1;associate's degree;Economics;10;150;8
30;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;software development;50000;0;associate's degree;Computer Science;22;2000;60
25;female;NA;NA;NA;United States of America;United States of America;0;English;Advertising;37000;1;bachelor's degree;Linguistics;5;500;24
31;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;software development;110000;0;some college credit- no degree;NA;10;500;48
36;male;married or domestic partnership;1;1;United States of America;United States of America;1;English;arts- entertainment- sports- or media;65000;0;master's degree (non-professional);Computer Science;6;400;18
20;male;NA;NA;NA;United States of America;United States of America;0;English;software development;16000;0;some college credit- no degree;NA;20;2000;120
32;male;NA;NA;NA;United Kingdom;Germany;0;English;NA;NA;NA;bachelor's degree;Computer Networking;40;100;2
27;male;NA;NA;NA;United Kingdom;United Kingdom;0;English;finance;30000;1;bachelor's degree;Linguistics;7;150;12
32;male;NA;NA;NA;United Kingdom;United Kingdom;0;English;office and administrative support;23000;1;bachelor's degree;Liberal Arts;15;50;3
32;female;NA;NA;NA;United States of America;United States of America;1;Yue (Cantonese) Chinese;IT;94000;0;bachelor's degree;Electrical Engineering;20;1000;9
38;male;married or domestic partnership;3;1;United States of America;United States of America;0;English;arts- entertainment- sports- or media;85000;0;bachelor's degree;Animation;8;300;120
16;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;some high school;NA;6;0;6
19;male;NA;NA;NA;Canada;Canada;0;English;software development;10000;0;high school diploma or equivalent (GED);NA;20;0;30
22;male;NA;NA;NA;Nigeria;United States of America;0;English;NA;NA;NA;some high school;NA;20;100;36
19;male;NA;NA;NA;United Kingdom;United Kingdom;0;English;software development;18000;1;high school diploma or equivalent (GED);NA;20;100;12
24;male;NA;NA;NA;France;United States of America;0;French;NA;NA;NA;bachelor's degree;Economics;25;100;3
34;male;married or domestic partnership;3;1;United Kingdom;United Kingdom;0;English;NA;NA;NA;high school diploma or equivalent (GED);NA;30;500;12
26;male;single- never married;NA;0;United States of America;United States of America;0;English;sales;30000;1;some college credit- no degree;NA;10;500;2
38;female;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;40;200;36
28;male;NA;NA;NA;United States of America;United States of America;0;English;architecture or physical engineering;60000;0;some college credit- no degree;NA;3;0;6
32;male;NA;NA;NA;United States of America;United States of America;1;Yue (Cantonese) Chinese;arts- entertainment- sports- or media;67000;1;bachelor's degree;Biology;20;8000;6
35;male;NA;NA;NA;United States of America;United States of America;0;English;education;50000;1;master's degree (non-professional);Linguistics;25;0;4
16;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;some high school;NA;7;0;3
23;male;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;some college credit- no degree;NA;40;100;5
